"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6341","TC06 - Verify Search by City and Country filters","OrangeHRM_E2E_Suite","Wed Dec 24 22:44:45 UTC 2025","passed","Wed Dec 24 22:44:51 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminOrganizationTest","verifyLocation_SearchFilters_Success"
"","15480","TC02 - Verify Vacancy Lifecycle: Create, Verify, Edit, Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:59:29 UTC 2025","passed","Wed Dec 24 22:59:45 UTC 2025","project_orangehrm.Test.Recruitment_Vacancies_Test","Step3_Recruitment","project_orangehrm.Test.Recruitment_Vacancies_Test","verifyVacancy_Lifecycle_Edit"
"","15795","TC13 - Verify Skills Add","OrangeHRM_E2E_Suite","Wed Dec 24 22:56:40 UTC 2025","passed","Wed Dec 24 22:56:56 UTC 2025","project_orangehrm.Test.PIM_EmployeeDetails_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyQualifications_Skills_Add_Success"
"","5217","TC17 - Verify Membership Lifecycle: Create","OrangeHRM_E2E_Suite","Wed Dec 24 22:48:28 UTC 2025","passed","Wed Dec 24 22:48:33 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyMemberships_Lifecycle_Success"
"","5200","TC13 - Verify Job Category Lifecycle: Create, Verify, and Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:42:41 UTC 2025","passed","Wed Dec 24 22:42:46 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyJobCategory_Lifecycle_Success"
"","5349","TC01 - Verify Skill Lifecycle: Create","OrangeHRM_E2E_Suite","Wed Dec 24 22:45:29 UTC 2025","passed","Wed Dec 24 22:45:34 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifySkills_Lifecycle_Success"
"","1731","TC11 - Verify LDAP Configuration Form Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:50:46 UTC 2025","passed","Wed Dec 24 22:50:48 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Configuration_Test","verifyLDAPConfiguration_Validation_Error"
"","19286","TC05 - Verify Reporting Method Lifecycle: Create, Verify, Edit, Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:52:17 UTC 2025","passed","Wed Dec 24 22:52:36 UTC 2025","project_orangehrm.Test.PIM_Configuration_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Configuration_Test","verifyReportingMethod_Lifecycle_Edit"
"","4685","TC05 - Verify Reporting Method Lifecycle: Create, Verify","OrangeHRM_E2E_Suite","Wed Dec 24 22:52:39 UTC 2025","passed","Wed Dec 24 22:52:43 UTC 2025","project_orangehrm.Test.PIM_Configuration_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Configuration_Test","verifyReportingMethod_Lifecycle_Success"
"","734","TC02 - Negative: Verify validation errors for all required fields in User Form","OrangeHRM_E2E_Suite","Wed Dec 24 22:57:54 UTC 2025","passed","Wed Dec 24 22:57:55 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Step2_PIM_Foundation","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_EmptyFields_ShowError"
"","5372","TC07 - Verify Termination Reason Lifecycle: Create, Verify","OrangeHRM_E2E_Suite","Wed Dec 24 22:53:19 UTC 2025","passed","Wed Dec 24 22:53:24 UTC 2025","project_orangehrm.Test.PIM_Configuration_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Configuration_Test","verifyTerminationReason_Lifecycle_Success"
"","5166","TC08 - Verify Organization Unit Lifecycle: Enable Edit, Create, Verify, Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:44:59 UTC 2025","passed","Wed Dec 24 22:45:04 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminOrganizationTest","verifyStructure_Lifecycle_Success"
"","1366","TC05 - Verify validation error for empty Pay Grade Name","OrangeHRM_E2E_Suite","Wed Dec 24 22:41:22 UTC 2025","passed","Wed Dec 24 22:41:23 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyPayGrade_EmptyFields_ShowError"
"","8298","TC03 - Verify Add Employee with Trem","OrangeHRM_E2E_Suite","Wed Dec 24 22:53:49 UTC 2025","passed","Wed Dec 24 22:53:57 UTC 2025","project_orangehrm.Test.PIM_Employee_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Employee_Test","verifyEmployee_Trem"
"","7611","TC16 - Verify error when creating a duplicate Job Category","OrangeHRM_E2E_Suite","Wed Dec 24 22:43:13 UTC 2025","passed","Wed Dec 24 22:43:21 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyJobCategory_DuplicateEntry_ShowError"
"","4013","TC07 - Verify Dependent Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:55:22 UTC 2025","passed","Wed Dec 24 22:55:26 UTC 2025","project_orangehrm.Test.PIM_EmployeeDetails_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyDependent_Delete_Success"
"","8814","TC02 - Verify Add Employee with Login Details (Create User Account)","OrangeHRM_E2E_Suite","Wed Dec 24 22:53:38 UTC 2025","passed","Wed Dec 24 22:53:46 UTC 2025","project_orangehrm.Test.PIM_Employee_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Employee_Test","verifyEmployee_WithLoginDetails_Success"
"","1780","TC01 - Positive: Verify successful login with valid credentials","OrangeHRM_E2E_Suite","Wed Dec 24 22:40:43 UTC 2025","passed","Wed Dec 24 22:40:45 UTC 2025","project_orangehrm.Test.LoginTest","Step1_Admin_Foundation","project_orangehrm.Test.LoginTest","verifyLogin_ValidCredentials_Success"
"","1277","TC07 - Verify Modules Page Load and Save","OrangeHRM_E2E_Suite","Wed Dec 24 22:50:27 UTC 2025","passed","Wed Dec 24 22:50:28 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Configuration_Test","verifyModules_Configuration_Save"
"","7679","TC11 - Verify updating Pay Grade Currency Salary","OrangeHRM_E2E_Suite","Wed Dec 24 22:42:10 UTC 2025","passed","Wed Dec 24 22:42:18 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyPayGrade_UpdateCurrency_Success"
"","7584","TC03 - Verify error when creating a duplicate Job Title","OrangeHRM_E2E_Suite","Wed Dec 24 22:41:05 UTC 2025","passed","Wed Dec 24 22:41:12 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyJobTitle_DuplicateEntry_ShowError"
"","7368","TC12 - Verify error when creating a duplicate License","OrangeHRM_E2E_Suite","Wed Dec 24 22:47:32 UTC 2025","passed","Wed Dec 24 22:47:40 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyLicenses_DuplicateEntry_ShowError"
"","4854","TC01 - Verify Nationality Lifecycle: Create, Verify","OrangeHRM_E2E_Suite","Wed Dec 24 22:50:58 UTC 2025","passed","Wed Dec 24 22:51:03 UTC 2025","project_orangehrm.Test.Admin_Nationalities_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Nationalities_Test","verifyNationality_Lifecycle_Success"
"","2866","TC05 - Negative: Verify error message when Password and Confirm Password do not match","OrangeHRM_E2E_Suite","Wed Dec 24 22:58:16 UTC 2025","passed","Wed Dec 24 22:58:19 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Step2_PIM_Foundation","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_PasswordContainMinimumNumber_ShowError"
"","1761","TC04 - Verify Nationality Duplicate Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:51:25 UTC 2025","passed","Wed Dec 24 22:51:27 UTC 2025","project_orangehrm.Test.Admin_Nationalities_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Nationalities_Test","verifyNationality_Duplicate_ShowError"
